"filename", "language", "Vue.js", "JavaScript", "JSON", "CSS", "XML", "comment", "blank", "total"
"d:\Code\TowerDesign\Front\src\design\collaborator.json", "JSON", 0, 0, 17, 0, 0, 0, 1, 18
"d:\Code\TowerDesign\Front\src\global.js", "JavaScript", 0, 29, 0, 0, 0, 1, 4, 34
"d:\Code\TowerDesign\Front\src\main.js", "JavaScript", 0, 34, 0, 0, 0, 16, 13, 63
"d:\Code\TowerDesign\Front\src\request\main.js", "JavaScript", 0, 15, 0, 0, 0, 3, 11, 29
"d:\Code\TowerDesign\Front\src\request\reqArticle.js", "JavaScript", 0, 19, 0, 0, 0, 3, 5, 27
"d:\Code\TowerDesign\Front\src\request\reqBrick.js", "JavaScript", 0, 67, 0, 0, 0, 16, 13, 96
"d:\Code\TowerDesign\Front\src\request\reqComment.js", "JavaScript", 0, 24, 0, 0, 0, 4, 7, 35
"d:\Code\TowerDesign\Front\src\request\reqInformation.js", "JavaScript", 0, 17, 0, 0, 0, 4, 4, 25
"d:\Code\TowerDesign\Front\src\request\reqLogin.js", "JavaScript", 0, 20, 0, 0, 0, 1, 4, 25
"d:\Code\TowerDesign\Front\src\request\reqSearch.js", "JavaScript", 0, 12, 0, 0, 0, 1, 6, 19
"d:\Code\TowerDesign\Front\src\router\router.js", "JavaScript", 0, 16, 0, 0, 0, 24, 4, 44
"d:\Code\TowerDesign\Front\src\store\data.js", "JavaScript", 0, 27, 0, 0, 0, 1, 5, 33
"d:\Code\TowerDesign\Front\src\store\data_Old.js", "JavaScript", 0, 478, 0, 0, 0, 46, 42, 566
"Total", "-", 5524, 906, 126, 3465, 1, 593, 1147, 11762
